,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
444,이슈왕 TV, 64.5,가수 임슬옹은 잘못이 없다는 여론이 더 많은 이유 [이슈왕], 281130,2020. 8. 6, 4546, 124,3345,https://www.youtube.com/watch?v=gECDZK5ezDc,,,
445,이슈왕 TV, 64.5,사실상 참PD가 가장 분노했던 먹방유튜버 나름TV [이슈왕], 970378,2020. 8. 5, 10099, 791,2926,https://www.youtube.com/watch?v=BORZwEdEiJg,인기 급상승 동영상 ,4,
446,이슈왕 TV, 64.5,생방송 도중 도티와 설전을 펼친 유튜버 참PD [이슈왕], 400128,2020. 8. 5, 6670, 322,2311,https://www.youtube.com/watch?v=cunvRsrms4c,,,
447,이슈왕 TV, 64.5,470만 먹방 유튜버 문복희 뒷광고 논란에 대해 해명하다 [이슈왕], 535910,2020. 8. 4, 6250, 360,2072,https://www.youtube.com/watch?v=nHwVsUI95xY,,,
448,이슈왕 TV, 64.5,인터넷에서 난리난 일본의 한 초밥 가게의 놀라운 행동 [이슈왕], 223348,2020. 8. 4, 4630, 166,3468,https://www.youtube.com/watch?v=mqQ0A3bEzbI,,,
449,이슈왕 TV, 64.5,최근 경기도 용인에 사는 가족에게 발생한 일 [이슈왕], 108577,2020. 8. 3, 2775, 62,1626,https://www.youtube.com/watch?v=6GF4bCJR1nA,,,
450,이슈왕 TV, 64.5,자숙 이후 한 달 만에 등장한 유튜버 송대익에 대한 시청자 반응 [이슈왕], 214117,2020. 8. 2, 4595, 221,1690,https://www.youtube.com/watch?v=JNNLVuGgmD0,,,
451,이슈왕 TV, 64.5,이재용 삼성전자 부회장이 인스타그램 SNS로 활동한다는 놀라운 소식에 대한 진실 [이슈왕], 88574,2020. 8. 1, 1301, 109,770,https://www.youtube.com/watch?v=xRjvt4B__eo,,,
452,이슈왕 TV, 64.5,현재 인터넷에서 난리난 스마트폰 유명 사진 어플들을 당장 삭제하라는 글 [이슈왕], 839296,2020. 7. 31, 10429, 360,6659,https://www.youtube.com/watch?v=cVn2LFP7wHg,,,
453,이슈왕 TV, 64.5,현재 상황에서 예비군 훈련을 다시 재개한다는 소식에 대한 반응 [이슈왕], 156596,2020. 7. 30, 2749, 91,2978,https://www.youtube.com/watch?v=FHEPtrC6mNE,,,
454,이슈왕 TV, 64.5,학생들 등교할 때 발열체크를 이 사람들한테 맡길 수 있다는 소식 [이슈왕], 339717,2020. 7. 29, 6949, 205,7322,https://www.youtube.com/watch?v=hXx1VR12vVs,,,
455,이슈왕 TV, 64.5,마스크를 턱에 걸치고 다니는 행동이 위험한 이유 [이슈왕], 293170,2020. 7. 29, 5464, 137,2972,https://www.youtube.com/watch?v=I7RIGIbx3ak,,,
456,이슈왕 TV, 64.5,국내에서 격리 중인 베트남 외국인 3명이 탈출해서 도망간 상황 [이슈왕], 168649,2020. 7. 27, 3507, 73,2979,https://www.youtube.com/watch?v=UYBFY1zTZYo,,,
457,이슈왕 TV, 64.5,앞으로는 한국에 들어온 외국인들에게 치료비를 본인 부담하게 한다는 소식 [이슈왕], 209971,2020. 7. 27, 3809, 84,2715,https://www.youtube.com/watch?v=7WYbrb4guwM,,,
458,이슈왕 TV, 64.5,송대익과 한혜연을 섞어놓았다는 평가를 받고 있는 40만 유튜버 야생마 [이슈왕], 590020,2020. 7. 26, 6919, 281,1785,https://www.youtube.com/watch?v=ifTijEOo1Jk,,,
459,이슈왕 TV, 64.5,결국 엄청나게 급증하여 하루에 100명을 넘어버린 상황 [이슈왕], 279200,2020. 7. 25, 4899, 111,4345,https://www.youtube.com/watch?v=id8tNd9YulE,,,
460,이슈왕 TV, 64.5,최근 중국 싼샤댐이 제한 수위를 초과하며 붕괴 위기 가능성 제기 [이슈왕], 519997,2020. 7. 24, 8067, 293,5281,https://www.youtube.com/watch?v=rp9DxMVybJs,,,
461,이슈왕 TV, 64.5,구급차를 막은 택시 기사의 놀라운 행동이 포착되었다는 소식 [이슈왕], 384127,2020. 7. 23, 6532, 172,2044,https://www.youtube.com/watch?v=n2uf4hzyEtA,,,
462,이슈왕 TV, 64.5,98만 유튜버 효기심 갑작스럽게 활동을 중단하는 이유 [이슈왕], 462075,2020. 7. 22, 6404, 222,2657,https://www.youtube.com/watch?v=6_BQ1FofmVI,,,
1,박성운, 11.2,부자들은 다 알고 있는 원초적 심리법칙, 1246,2020. 8. 4, 95, 1,11,https://www.youtube.com/watch?v=VJh0oDkHrGw,,,
2,박성운, 11.2,원래 뭐하던 사람이에요? NGNS의 정체는? 현재 직업은? 11만 구독자 기념 Q&A, 1005,2020. 7. 30, 56, 없음,14,https://www.youtube.com/watch?v=b6e_Ss7CkpE,,,
3,박성운, 11.2,설득의 기술: 무의식적으로 반응하게 되는 강력한 심리테크닉, 2996,2020. 7. 13, 162, 없음,7,https://www.youtube.com/watch?v=gQtRt7yDAvA,,,
4,박성운, 11.2,프리다이빙 입문하고 배운 것들 그리고 K26, 1827,2020. 7. 8, 27, 1,7,https://www.youtube.com/watch?v=ikxObQak-Ns,K26 ,프리다이빙 ,고프로
5,박성운, 11.2,대화의 기술: 끊기지 않는 대화를 위한 심리 테크닉, 3976,2020. 6. 29, 211, 2,13,https://www.youtube.com/watch?v=p92YJJ5KamQ,,,
6,박성운, 11.2,시간관리의 기술 - 유튜버 교육가 사업가의 평범한 하루 브이로그, 3524,2020. 6. 24, 103, 4,9,https://www.youtube.com/watch?v=3Nb2VBnZhg8,,,
7,박성운, 11.2,만만하게 보이지 않는 방법: 카리스마를 어떻게 키울까?, 3563,2020. 6. 12, 200, 4,14,https://www.youtube.com/watch?v=8oN3oYyGvNc,,,
8,박성운, 11.2,맨몸으로 하늘을 날아보았습니다. [실내스카이다이빙 도전기], 854,2020. 6. 9, 29, 1,11,https://www.youtube.com/watch?v=b9UUah6afj8,실내스카이다이빙 ,스카이다이빙 ,레저스포츠
9,박성운, 11.2,말 잘하는 법: 똑같은 말을 해도 더 신뢰가 가는 스피치 테크닉, 2607,2020. 6. 8, 126, 3,8,https://www.youtube.com/watch?v=E5T2Ueezaas,,,
10,박성운, 11.2,나도 상대방도 이해하기 쉽게 말 잘하는 법 3가지, 5824,2020. 6. 2, 261, 5,12,https://www.youtube.com/watch?v=Zizh6tkMGYA,,,
11,박성운, 11.2,제가 좀 이상한 책을 썼습니다..., 1418,2020. 6. 1, 51, 없음,29,https://www.youtube.com/watch?v=rnSCJ-gf340,,,
12,박성운, 11.2,구독자분이 운영하는 카페에 몰래 찾아가 봤더니... [구독자 몰래카메라 반응], 1311,2020. 5. 28, 52, 없음,12,https://www.youtube.com/watch?v=XO0Orcz_qAU,,,
13,박성운, 11.2,스피치나 프레젠테이션 도중에 실수를 했을 때 어떻게 대처하면 좋을까?, 2932,2020. 5. 18, 113, 2,13,https://www.youtube.com/watch?v=H0iE85Z1vwo,,,
14,박성운, 11.2,1인기업가 프리랜서를 위한 현실적인 '돈 버는 법' 조언, 3265,2020. 5. 15, 174, 3,8,https://www.youtube.com/watch?v=m-UlGpkmtDc,,,
15,박성운, 11.2,발표 할 때 긴장을 줄이는 과학적이고 확실한 방법 (무대공포증 발표불안 울렁증 극복), 3722,2020. 5. 12, 184, 2,9,https://www.youtube.com/watch?v=i6G-GMOjVNc,,,
16,박성운, 11.2,우울증을 극복하고 베스트셀러 작가가 된 유명 유튜버의 이야기, 2326,2020. 5. 8, 96, 1,13,https://www.youtube.com/watch?v=klmVmxoNJg4,,,
17,박성운, 11.2,스피치를 잘하기 위해 무조건 필요한 것은? '생각의 구조화' 심화편, 5939,2020. 5. 2, 253, 5,12,https://www.youtube.com/watch?v=Skt9Ssrkf70,,,
18,박성운, 11.2,우울증 자가진단법과 극복방법 (feat. 정신과전문의 김형찬), 2963,2020. 4. 30, 129, 3,17,https://www.youtube.com/watch?v=g9TFGsJZnb0,,,
19,박성운, 11.2,의혹에 대해 해명하겠습니다., 4971,2020. 4. 27, 126, 7,37,https://www.youtube.com/watch?v=-prsbMsSwd4,,,
20,박성운, 11.2,말 잘하는 방법을 간단한 공식으로 만들었습니다. '생각의 구조화' 기초편, 18102,2020. 4. 23, 576, 13,14,https://www.youtube.com/watch?v=_YaTGwY3c7M,,,
832,체인지 그라운드, 73.3,부수입으로 100만원 더 벌기 위해 알아야 할 3가지, 7814,2020. 8. 5, 354, 12,9,https://www.youtube.com/watch?v=zzcF1LDcCSQ,,,
833,체인지 그라운드, 73.3,매일매일 지키는 8대 2의 원칙 (이시한 저자), 11409,2020. 8. 5, 317, 9,13,https://www.youtube.com/watch?v=-3f6v6V9qj0,,,
834,체인지 그라운드, 73.3,정조처럼 몸과 마음을 다스리는 법, 10079,2020. 8. 4, 429, 9,13,https://www.youtube.com/watch?v=yVR_Np9HV00,웅이사의하루공부,,
835,체인지 그라운드, 73.3,정말 늦었다고 생각할 때 당장 해야할 일 [동기부여 영상], 29709,2020. 8. 4, 1484, 29,67,https://www.youtube.com/watch?v=CMmz9ZdMhvQ,,,
836,체인지 그라운드, 73.3,주식 투자보다 집부터 사라는 이유, 9863,2020. 8. 3, 358, 13,27,https://www.youtube.com/watch?v=NhqRCdRlbFo,웅이사의하루공부,,
837,체인지 그라운드, 73.3,빚의 3가지 유형 이것만은 피하자 (김성일), 4731,2020. 8. 3, 154, 6,4,https://www.youtube.com/watch?v=pWY3wCpXdDI,,,
838,체인지 그라운드, 73.3,침몰하는 삶을 멈추는 3가지 방법 (신사임당), 26467,2020. 8. 2, 937, 24,19,https://www.youtube.com/watch?v=kKTNnWVyFy8,웅이사의하루공부,,
839,체인지 그라운드, 73.3,내일 하겠다는 말은 안 하겠다는 말이다 [동기부여 영상], 18044,2020. 8. 2, 906, 8,25,https://www.youtube.com/watch?v=L-nYjBFCLh8,,,
840,체인지 그라운드, 73.3,경제적 자유를 얻기 위해 필요한 금액, 26263,2020. 8. 1, 795, 15,44,https://www.youtube.com/watch?v=vNPDyhNz5bw,웅이사의하루공부,,
841,체인지 그라운드, 73.3,부와 인기를 얻는 평판 관리법 (문성후 박사), 19082,2020. 8. 1, 550, 18,15,https://www.youtube.com/watch?v=0NSmaOZQYZA,,,
842,체인지 그라운드, 73.3,주식 사지 말고 집부터 사라는 6가지 이유 (1부), 37075,2020. 7. 31, 1404, 35,70,https://www.youtube.com/watch?v=KAfdwOXuUz8,웅이사의하루공부,,
843,체인지 그라운드, 73.3,퇴사할 때 지켜야 하는 매너 (맹한승 편집장), 5420,2020. 7. 31, 142, 10,7,https://www.youtube.com/watch?v=7oQsRb5lHCI,,,
